Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Size,Color,Material,Warranty,Manufacturer,Rating,Shipping_Weight,Delivery_Time,Discount,Eco_Friendly,Shipping_Cost,Shipping_Company,Shipping_Type,Insurance,Return_Policy
2016-11-24,24,November,2016,49,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5,11,10,21,Medium,Black,Carbon Fiber,1 Year,Manufacturer A,4,10.77,9,10,False,87.73,Posti,Express,,30 Days
2016-10-15,15,October,2016,18,Youth (<25),M,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,19,2,5,36,38,74,Small,Black,Plastic,3 Years,Manufacturer C,4,1.29,5,21,False,38.91,DHL,Standard,Basic,30 Days
2016-12-03,3,December,2016,18,Youth (<25),F,France,Seine Saint Denis,Accessories,Tires and Tubes,ML Mountain Tire,18,11,30,245,198,443,Extra Large,Red,Plastic,2 Years,Manufacturer A,4,7.88,3,3,True,30.57,DHL,Standard,,60 Days
2016-10-25,25,October,2016,42,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,23,1,2,22,23,45,Small,Red,Carbon Fiber,1 Year,Manufacturer D,3,7.42,6,6,False,70.92,Posti,Same Day,,30 Days
2016-10-28,28,October,2016,36,Adults (35-64),F,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,71,60,131,Extra Large,Black,Carbon Fiber,Lifetime,Manufacturer C,3,1.69,9,8,True,12.98,GLS,Standard,Basic,60 Days
2016-03-10,10,March,2016,18,Youth (<25),M,United Kingdom,England,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",1,42,54,10,42,52,Large,Green,Plastic,Lifetime,Manufacturer D,1,9.7,9,26,True,99.84,GLS,Express,,30 Days
2016-06-16,16,June,2016,35,Adults (35-64),M,Australia,Victoria,Accessories,Hydration Packs,Hydration Pack - 70 oz.,15,21,55,337,315,652,Small,White,Aluminum,2 Years,Manufacturer D,2,10.65,1,19,True,96.35,DHL,Next Day,,30 Days
2016-05-18,18,May,2016,29,Young Adults (25-34),M,France,Seine et Marne,Accessories,Helmets,"Sport-100 Helmet, Red",11,13,35,173,143,316,Extra Large,Blue,Carbon Fiber,1 Year,Manufacturer D,2,8.99,7,28,True,37.38,DHL,Express,,60 Days
2016-03-30,30,March,2016,40,Adults (35-64),M,France,Yveline,Bikes,Road Bikes,"Road-750 Black, 48",1,344,540,66,344,410,Large,Red,Steel,1 Year,Manufacturer C,3,5.85,3,1,True,8.97,Posti,Next Day,Premium,7 Days
2016-05-05,5,May,2016,17,Youth (<25),M,United States,California,Accessories,Tires and Tubes,Road Tire Tube,11,1,4,32,11,43,Small,Red,Carbon Fiber,2 Years,Manufacturer A,3,14.39,3,19,False,27.02,GLS,Express,,No Return
2016-03-12,12,March,2016,35,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,HL Mountain Tire,24,13,35,343,312,655,Small,Red,Carbon Fiber,3 Years,Manufacturer C,5,4.41,9,16,False,58.72,DHL,Standard,,60 Days
2016-05-27,27,May,2016,46,Adults (35-64),M,United States,California,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,81,56,137,Small,Green,Aluminum,3 Years,Manufacturer A,4,5.95,9,21,False,24.04,FedEx,Same Day,Premium,7 Days
2016-06-14,14,June,2016,22,Youth (<25),F,France,Seine (Paris),Accessories,Tires and Tubes,Road Tire Tube,15,1,4,34,15,49,Extra Large,White,Carbon Fiber,1 Year,Manufacturer D,1,3.57,2,14,True,56.74,GLS,Same Day,Basic,60 Days
2016-03-19,19,March,2016,37,Adults (35-64),M,Canada,British Columbia,Clothing,Gloves,"Half-Finger Gloves, L",7,9,24,103,63,166,Medium,Red,Plastic,Lifetime,Manufacturer D,2,13.0,9,3,False,42.73,FedEx,Standard,,No Return
2016-05-02,2,May,2016,45,Adults (35-64),M,Australia,New South Wales,Accessories,Helmets,"Sport-100 Helmet, Blue",9,13,35,157,117,274,Medium,Red,Plastic,Lifetime,Manufacturer C,1,11.38,4,11,True,95.01,UPS,Standard,Basic,7 Days
2016-07-21,21,July,2016,52,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,20,13,35,433,260,693,Extra Large,Blue,Aluminum,Lifetime,Manufacturer D,5,7.36,1,4,False,99.21,UPS,Express,Premium,7 Days
2016-10-09,9,October,2016,37,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Road Tire Tube,19,1,4,55,19,74,Medium,White,Aluminum,Lifetime,Manufacturer B,1,9.62,6,9,True,5.96,GLS,Standard,,7 Days
2016-12-16,16,December,2016,30,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,12,8,20,Large,Blue,Steel,Lifetime,Manufacturer B,1,10.26,4,28,True,99.58,GLS,Same Day,Premium,30 Days
2016-05-09,9,May,2016,44,Adults (35-64),F,United States,California,Bikes,Touring Bikes,"Touring-3000 Yellow, 62",1,461,742,266,461,727,Extra Large,Green,Carbon Fiber,1 Year,Manufacturer D,1,1.32,3,12,False,89.32,Posti,Standard,Premium,60 Days
2016-05-20,20,May,2016,25,Young Adults (25-34),M,France,Seine Saint Denis,Bikes,Road Bikes,"Road-650 Black, 60",1,487,783,155,487,642,Extra Large,Blue,Plastic,3 Years,Manufacturer A,4,12.34,7,3,False,87.67,Posti,Standard,,7 Days
2016-05-05,5,May,2016,19,Youth (<25),M,Australia,New South Wales,Bikes,Road Bikes,"Road-150 Red, 62",1,2171,3578,942,2171,3113,Medium,Blue,Carbon Fiber,2 Years,Manufacturer B,2,12.19,8,27,False,51.37,FedEx,Same Day,,No Return
2016-04-30,30,April,2016,26,Young Adults (25-34),M,United Kingdom,England,Accessories,Fenders,Fender Set - Mountain,9,8,22,118,72,190,Small,White,Steel,1 Year,Manufacturer A,2,7.04,8,24,False,66.78,FedEx,Same Day,Basic,30 Days
2016-03-03,3,March,2016,33,Young Adults (25-34),F,Canada,British Columbia,Accessories,Cleaners,Bike Wash - Dissolver,22,3,8,108,66,174,Large,White,Aluminum,3 Years,Manufacturer D,2,4.6,7,13,False,22.48,Posti,Standard,Premium,30 Days
2016-06-30,30,June,2016,40,Adults (35-64),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",1,1912,3400,1352,1912,3264,Medium,Black,Plastic,Lifetime,Manufacturer A,5,13.8,5,16,False,92.49,DHL,Next Day,Premium,30 Days
2016-02-07,7,February,2016,26,Young Adults (25-34),M,Australia,Queensland,Clothing,Gloves,"Half-Finger Gloves, S",14,9,24,156,126,282,Medium,Blue,Carbon Fiber,Lifetime,Manufacturer B,1,11.36,2,4,False,48.42,UPS,Standard,Basic,30 Days
2016-06-09,9,June,2016,30,Young Adults (25-34),M,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,17,2,5,32,34,66,Medium,Black,Aluminum,2 Years,Manufacturer A,5,2.32,4,29,True,45.3,UPS,Same Day,,30 Days
2016-02-10,10,February,2016,30,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,Mountain Tire Tube,24,2,5,71,48,119,Extra Large,Blue,Carbon Fiber,3 Years,Manufacturer A,5,10.55,6,25,True,93.69,GLS,Standard,Basic,No Return
2016-01-12,12,January,2016,37,Adults (35-64),F,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",3,1083,1701,1650,3249,4899,Small,Black,Steel,3 Years,Manufacturer C,4,8.23,6,21,True,58.95,FedEx,Express,Premium,60 Days
2016-01-02,2,January,2016,65,Seniors (64+),F,France,Nord,Accessories,Tires and Tubes,Touring Tire Tube,3,2,5,7,6,13,Large,White,Carbon Fiber,2 Years,Manufacturer D,1,13.41,9,20,False,22.53,GLS,Same Day,Basic,60 Days
2016-01-24,24,January,2016,40,Adults (35-64),F,United Kingdom,England,Clothing,Gloves,"Half-Finger Gloves, S",6,9,24,84,54,138,Small,Black,Carbon Fiber,Lifetime,Manufacturer D,4,1.24,2,8,True,42.6,GLS,Next Day,,60 Days
2016-04-04,4,April,2016,47,Adults (35-64),M,United States,Oregon,Clothing,Caps,AWC Logo Cap,23,7,9,17,161,178,Large,Green,Steel,1 Year,Manufacturer D,3,10.39,6,16,True,63.28,GLS,Same Day,,No Return
2016-09-15,15,September,2016,37,Adults (35-64),F,Germany,Nordrhein-Westfalen,Accessories,Tires and Tubes,Touring Tire Tube,26,2,5,61,52,113,Medium,Red,Steel,Lifetime,Manufacturer C,4,3.64,3,6,True,71.96,FedEx,Next Day,,7 Days
2016-03-17,17,March,2016,35,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",1,308,565,184,308,492,Extra Large,Blue,Carbon Fiber,3 Years,Manufacturer B,2,11.44,8,9,True,33.3,DHL,Same Day,Premium,60 Days
2016-04-25,25,April,2016,22,Youth (<25),F,Australia,Queensland,Accessories,Tires and Tubes,HL Mountain Tire,7,13,35,115,91,206,Small,Blue,Plastic,1 Year,Manufacturer D,5,5.12,5,26,True,45.66,FedEx,Same Day,,No Return
2016-06-21,21,June,2016,28,Young Adults (25-34),M,Germany,Hessen,Accessories,Bottles and Cages,Road Bottle Cage,27,3,9,145,81,226,Large,Green,Steel,2 Years,Manufacturer A,5,12.83,2,12,True,37.16,Posti,Standard,,7 Days
2016-12-21,21,December,2016,20,Youth (<25),M,United States,California,Clothing,Vests,"Classic Vest, L",4,24,64,155,96,251,Small,Blue,Aluminum,1 Year,Manufacturer B,2,2.17,4,14,True,59.45,FedEx,Standard,,60 Days
2016-12-31,31,December,2016,25,Young Adults (25-34),F,Canada,British Columbia,Bikes,Road Bikes,"Road-250 Black, 52",1,1555,2443,864,1555,2419,Extra Large,Blue,Plastic,2 Years,Manufacturer D,3,1.04,5,17,False,80.17,DHL,Same Day,,30 Days
2016-03-26,26,March,2016,38,Adults (35-64),M,Germany,Bayern,Bikes,Road Bikes,"Road-350-W Yellow, 44",1,1083,1701,601,1083,1684,Extra Large,Green,Plastic,1 Year,Manufacturer A,4,2.35,9,13,True,62.5,Posti,Standard,Premium,No Return
2016-08-25,25,August,2016,27,Young Adults (25-34),M,United States,California,Accessories,Helmets,"Sport-100 Helmet, Blue",30,13,35,639,390,1029,Large,Red,Aluminum,3 Years,Manufacturer B,2,8.57,2,8,True,89.31,GLS,Same Day,Basic,7 Days
2016-09-08,8,September,2016,23,Youth (<25),F,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",12,42,54,40,504,544,Large,Blue,Carbon Fiber,1 Year,Manufacturer C,2,12.71,5,2,True,11.0,DHL,Standard,Premium,No Return
2016-07-03,3,July,2016,40,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,Patch Kit/8 Patches,20,1,2,20,20,40,Extra Large,Green,Aluminum,Lifetime,Manufacturer D,2,1.65,2,20,False,24.66,Posti,Express,,60 Days
2016-04-23,23,April,2016,30,Young Adults (25-34),M,France,Nord,Bikes,Road Bikes,"Road-550-W Yellow, 40",2,713,1120,523,1426,1949,Medium,Red,Steel,3 Years,Manufacturer C,2,14.78,3,24,True,94.49,GLS,Standard,Basic,No Return
2016-02-24,24,February,2016,57,Adults (35-64),M,United States,Oregon,Clothing,Caps,AWC Logo Cap,25,7,9,19,175,194,Large,Blue,Plastic,2 Years,Manufacturer D,5,7.84,2,23,True,93.03,DHL,Next Day,,7 Days
2016-08-07,7,August,2016,17,Youth (<25),M,United States,California,Clothing,Socks,"Racing Socks, L",3,3,9,17,9,26,Large,Red,Aluminum,Lifetime,Manufacturer B,2,7.97,6,5,True,36.88,Posti,Same Day,Basic,60 Days
2016-12-01,1,December,2016,46,Adults (35-64),F,United States,California,Accessories,Helmets,"Sport-100 Helmet, Black",6,13,35,128,78,206,Medium,Red,Aluminum,Lifetime,Manufacturer D,2,2.35,1,7,False,37.56,DHL,Express,Basic,No Return
2016-03-03,3,March,2016,44,Adults (35-64),F,United States,California,Accessories,Hydration Packs,Hydration Pack - 70 oz.,12,21,55,395,252,647,Medium,Red,Steel,2 Years,Manufacturer D,3,10.5,4,22,True,30.93,GLS,Standard,Basic,No Return
2016-12-28,28,December,2016,37,Adults (35-64),M,Australia,Queensland,Accessories,Helmets,"Sport-100 Helmet, Red",25,13,35,410,325,735,Small,Red,Steel,1 Year,Manufacturer C,3,3.66,2,12,True,66.89,UPS,Next Day,Basic,30 Days
2016-03-11,11,March,2016,36,Adults (35-64),F,Australia,Queensland,Accessories,Helmets,"Sport-100 Helmet, Blue",24,13,35,394,312,706,Extra Large,Green,Aluminum,1 Year,Manufacturer B,1,13.52,2,18,True,93.97,Posti,Standard,Basic,60 Days
2016-10-19,19,October,2016,46,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-750 Black, 58",4,344,540,698,1376,2074,Small,Red,Aluminum,3 Years,Manufacturer D,3,7.29,1,2,True,49.71,Posti,Express,Basic,30 Days
2016-03-18,18,March,2016,22,Youth (<25),M,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5,15,10,25,Large,White,Carbon Fiber,1 Year,Manufacturer B,3,7.78,2,3,True,28.74,UPS,Next Day,Premium,60 Days
2016-05-25,25,May,2016,28,Young Adults (25-34),F,Australia,New South Wales,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,38,32,70,Medium,Blue,Aluminum,3 Years,Manufacturer D,5,13.47,3,5,False,22.51,Posti,Same Day,Premium,30 Days
2016-10-22,22,October,2016,50,Adults (35-64),F,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Black",10,13,35,143,130,273,Large,Blue,Plastic,1 Year,Manufacturer B,2,1.03,3,6,True,82.18,FedEx,Express,Premium,30 Days
2016-11-03,3,November,2016,32,Young Adults (25-34),F,Germany,Hamburg,Bikes,Road Bikes,"Road-250 Red, 48",3,1519,2443,2259,4557,6816,Extra Large,Black,Plastic,3 Years,Manufacturer C,4,9.14,4,8,True,47.91,UPS,Express,,No Return
2016-02-06,6,February,2016,31,Young Adults (25-34),F,United Kingdom,England,Accessories,Helmets,"Sport-100 Helmet, Blue",9,13,35,185,117,302,Small,Black,Plastic,3 Years,Manufacturer A,3,13.18,5,29,False,41.23,DHL,Standard,,30 Days
2016-02-17,17,February,2016,38,Adults (35-64),M,France,Nord,Accessories,Helmets,"Sport-100 Helmet, Black",1,13,35,17,13,30,Extra Large,White,Aluminum,1 Year,Manufacturer D,1,0.57,9,26,True,52.19,DHL,Next Day,,No Return
2016-02-18,18,February,2016,32,Young Adults (25-34),F,Australia,Victoria,Accessories,Tires and Tubes,Mountain Tire Tube,15,2,5,29,30,59,Extra Large,Black,Aluminum,3 Years,Manufacturer D,3,2.98,4,21,True,73.41,DHL,Standard,Basic,30 Days
2016-01-10,10,January,2016,43,Adults (35-64),F,Canada,British Columbia,Accessories,Tires and Tubes,LL Mountain Tire,1,9,25,16,9,25,Large,Green,Carbon Fiber,3 Years,Manufacturer C,3,1.74,9,19,True,25.97,DHL,Same Day,Basic,30 Days
2016-04-11,11,April,2016,50,Adults (35-64),F,France,Hauts de Seine,Accessories,Tires and Tubes,Touring Tire Tube,12,2,5,32,24,56,Extra Large,Black,Plastic,3 Years,Manufacturer A,3,12.26,5,1,True,66.62,Posti,Standard,,No Return
2016-08-29,29,August,2016,53,Adults (35-64),F,France,Seine Saint Denis,Accessories,Tires and Tubes,ML Road Tire,31,9,25,357,279,636,Medium,Red,Carbon Fiber,2 Years,Manufacturer C,2,12.64,6,27,True,70.47,UPS,Next Day,Basic,30 Days
2016-05-22,22,May,2016,29,Young Adults (25-34),M,Australia,New South Wales,Accessories,Tires and Tubes,Patch Kit/8 Patches,21,1,2,16,21,37,Small,White,Steel,2 Years,Manufacturer C,4,5.36,8,6,True,63.69,GLS,Same Day,,30 Days
2016-02-24,24,February,2016,24,Youth (<25),M,Canada,British Columbia,Clothing,Shorts,"Women's Mountain Shorts, L",7,26,70,303,182,485,Extra Large,Black,Carbon Fiber,Lifetime,Manufacturer B,5,12.07,4,11,False,34.08,DHL,Express,Basic,7 Days
2016-05-07,7,May,2016,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,Small,White,Steel,3 Years,Manufacturer D,1,12.2,6,25,False,74.59,FedEx,Same Day,Basic,No Return
2016-03-23,23,March,2016,31,Young Adults (25-34),M,France,Moselle,Accessories,Bottles and Cages,Road Bottle Cage,8,3,9,39,24,63,Extra Large,White,Steel,3 Years,Manufacturer C,4,4.2,4,29,False,36.19,DHL,Same Day,Premium,No Return
2016-08-08,8,August,2016,33,Young Adults (25-34),F,United Kingdom,England,Bikes,Road Bikes,"Road-350-W Yellow, 48",1,1083,1701,550,1083,1633,Extra Large,White,Carbon Fiber,2 Years,Manufacturer B,2,8.52,9,21,True,82.44,Posti,Same Day,,30 Days
2016-10-29,29,October,2016,34,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Patch Kit/8 Patches,18,1,2,17,18,35,Large,Blue,Plastic,3 Years,Manufacturer A,2,5.51,8,13,True,54.63,Posti,Express,Premium,No Return
2016-10-21,21,October,2016,56,Adults (35-64),M,Australia,Tasmania,Accessories,Tires and Tubes,Patch Kit/8 Patches,21,1,2,13,21,34,Small,White,Steel,3 Years,Manufacturer C,5,0.71,5,10,False,75.23,DHL,Standard,,7 Days
2016-08-31,31,August,2016,40,Adults (35-64),M,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,22,8,22,303,176,479,Small,Blue,Plastic,1 Year,Manufacturer D,1,9.18,1,16,True,84.23,GLS,Next Day,Premium,7 Days
2016-06-03,3,June,2016,42,Adults (35-64),M,United States,Oregon,Bikes,Road Bikes,"Road-650 Red, 48",1,487,783,186,487,673,Large,Black,Carbon Fiber,Lifetime,Manufacturer C,5,10.93,6,29,False,80.77,FedEx,Express,,7 Days
2016-05-24,24,May,2016,37,Adults (35-64),M,Canada,British Columbia,Accessories,Hydration Packs,Hydration Pack - 70 oz.,14,21,55,468,294,762,Extra Large,Green,Carbon Fiber,2 Years,Manufacturer A,3,7.99,2,13,False,72.14,FedEx,Standard,Basic,60 Days
2016-02-18,18,February,2016,40,Adults (35-64),F,United States,Washington,Accessories,Cleaners,Bike Wash - Dissolver,26,3,8,84,78,162,Extra Large,Red,Plastic,Lifetime,Manufacturer A,5,10.78,9,1,False,93.5,DHL,Same Day,,30 Days
2016-01-08,8,January,2016,32,Young Adults (25-34),F,Canada,British Columbia,Clothing,Socks,"Racing Socks, M",20,3,9,118,60,178,Medium,Blue,Steel,2 Years,Manufacturer C,4,4.14,4,22,True,62.89,DHL,Same Day,,7 Days
2016-01-18,18,January,2016,48,Adults (35-64),F,United States,Washington,Accessories,Fenders,Fender Set - Mountain,8,8,22,73,64,137,Small,Green,Plastic,1 Year,Manufacturer D,2,10.34,4,28,True,53.18,FedEx,Standard,Premium,No Return
2016-05-17,17,May,2016,50,Adults (35-64),F,United Kingdom,England,Accessories,Tires and Tubes,Patch Kit/8 Patches,4,1,2,4,4,8,Medium,Blue,Plastic,Lifetime,Manufacturer A,2,5.66,9,17,False,78.68,DHL,Express,Basic,60 Days
2016-11-26,26,November,2016,39,Adults (35-64),M,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",24,42,54,81,1008,1089,Large,White,Plastic,Lifetime,Manufacturer B,3,7.89,9,11,False,45.63,GLS,Same Day,,30 Days
2016-05-18,18,May,2016,51,Adults (35-64),M,United States,California,Clothing,Caps,AWC Logo Cap,1,7,9,2,7,9,Small,Red,Aluminum,Lifetime,Manufacturer C,5,2.86,4,4,False,77.29,FedEx,Next Day,Premium,No Return
2016-03-31,31,March,2016,49,Adults (35-64),F,United States,Washington,Accessories,Helmets,"Sport-100 Helmet, Black",4,13,35,57,52,109,Large,White,Steel,2 Years,Manufacturer D,1,9.34,7,28,True,31.59,Posti,Standard,,7 Days
2016-11-27,27,November,2016,29,Young Adults (25-34),M,United States,California,Accessories,Tires and Tubes,Touring Tire,24,11,29,418,264,682,Extra Large,Blue,Aluminum,Lifetime,Manufacturer C,4,0.9,9,1,False,78.07,UPS,Next Day,Basic,7 Days
2016-02-25,25,February,2016,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,774,1912,2686,Extra Large,Black,Carbon Fiber,Lifetime,Manufacturer B,3,14.3,7,2,True,31.23,GLS,Next Day,Basic,7 Days
2016-10-22,22,October,2016,28,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,561,1252,1813,Medium,Green,Plastic,1 Year,Manufacturer C,4,3.45,5,0,False,78.02,UPS,Same Day,,60 Days
2016-03-15,15,March,2016,28,Young Adults (25-34),M,Germany,Saarland,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",2,420,769,421,840,1261,Large,White,Aluminum,2 Years,Manufacturer A,2,6.7,3,23,False,92.99,UPS,Next Day,Basic,7 Days
2016-10-03,3,October,2016,18,Youth (<25),F,United Kingdom,England,Accessories,Tires and Tubes,Road Tire Tube,14,1,4,40,14,54,Extra Large,Blue,Plastic,1 Year,Manufacturer D,5,9.47,8,15,False,68.69,FedEx,Next Day,,No Return
2016-06-05,5,June,2016,35,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,11,2,5,32,22,54,Small,Black,Steel,3 Years,Manufacturer C,5,9.15,5,3,False,98.7,UPS,Express,Premium,7 Days
2016-09-06,6,September,2016,66,Seniors (64+),F,Germany,Nordrhein-Westfalen,Accessories,Cleaners,Bike Wash - Dissolver,13,3,8,51,39,90,Extra Large,White,Plastic,2 Years,Manufacturer D,5,12.32,1,27,False,72.68,FedEx,Standard,Basic,7 Days
2016-05-14,14,May,2016,23,Youth (<25),M,Canada,British Columbia,Accessories,Helmets,"Sport-100 Helmet, Red",13,13,35,281,169,450,Medium,White,Steel,Lifetime,Manufacturer C,4,9.05,6,13,True,98.73,DHL,Express,Basic,7 Days
2016-01-27,27,January,2016,27,Young Adults (25-34),F,United Kingdom,England,Accessories,Tires and Tubes,ML Road Tire,3,9,25,45,27,72,Small,Blue,Plastic,2 Years,Manufacturer B,1,2.23,9,11,True,53.99,FedEx,Same Day,,7 Days
2016-01-08,8,January,2016,21,Youth (<25),F,Canada,British Columbia,Accessories,Fenders,Fender Set - Mountain,8,8,22,110,64,174,Large,Blue,Plastic,1 Year,Manufacturer B,5,7.3,1,28,False,60.1,Posti,Next Day,Basic,30 Days
2016-12-24,24,December,2016,25,Young Adults (25-34),F,United States,Washington,Accessories,Tires and Tubes,Touring Tire Tube,1,2,5,2,2,4,Medium,Green,Plastic,3 Years,Manufacturer D,2,7.3,3,0,True,76.15,GLS,Same Day,Basic,7 Days
2016-09-30,30,September,2016,55,Adults (35-64),F,Australia,New South Wales,Accessories,Bottles and Cages,Road Bottle Cage,29,3,9,140,87,227,Small,Black,Steel,3 Years,Manufacturer A,3,4.57,9,15,False,21.39,GLS,Same Day,Basic,7 Days
2016-09-15,15,September,2016,56,Adults (35-64),F,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,27,2,5,78,54,132,Large,Black,Plastic,1 Year,Manufacturer C,1,13.2,2,26,True,44.97,FedEx,Express,Basic,30 Days
2016-05-07,7,May,2016,39,Adults (35-64),M,United Kingdom,England,Bikes,Road Bikes,"Road-150 Red, 44",1,2171,3578,1264,2171,3435,Small,White,Steel,3 Years,Manufacturer D,1,12.2,6,25,False,74.59,FedEx,Same Day,Basic,No Return
2016-10-28,28,October,2016,42,Adults (35-64),M,Australia,Queensland,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",16,42,54,54,672,726,Small,Green,Plastic,1 Year,Manufacturer A,4,2.53,9,13,True,39.19,DHL,Express,Basic,60 Days
2016-01-11,11,January,2016,34,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 40",4,295,540,937,1180,2117,Large,Red,Steel,Lifetime,Manufacturer A,5,1.38,7,2,False,92.01,Posti,Express,,7 Days
2016-09-08,8,September,2016,37,Adults (35-64),F,United Kingdom,England,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",1,38,50,10,38,48,Large,White,Steel,1 Year,Manufacturer B,3,7.61,8,28,False,65.01,Posti,Standard,,60 Days
2016-02-10,10,February,2016,53,Adults (35-64),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,35,24,59,Extra Large,Red,Steel,Lifetime,Manufacturer A,3,1.61,6,13,False,98.22,GLS,Same Day,Premium,No Return
2016-05-20,20,May,2016,43,Adults (35-64),M,United States,Washington,Accessories,Tires and Tubes,Mountain Tire Tube,2,2,5,4,4,8,Extra Large,Black,Plastic,1 Year,Manufacturer B,2,0.74,7,23,True,84.1,Posti,Same Day,Basic,30 Days
2016-09-23,23,September,2016,27,Young Adults (25-34),F,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",20,42,54,13,840,853,Extra Large,White,Steel,Lifetime,Manufacturer D,3,11.81,5,17,False,51.78,FedEx,Express,,7 Days
2016-10-02,2,October,2016,51,Adults (35-64),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,1031,1266,2297,Medium,White,Steel,2 Years,Manufacturer A,3,10.35,2,13,False,28.64,UPS,Express,,No Return
2016-12-20,20,December,2016,35,Adults (35-64),F,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,1,4,10,6,4,10,Medium,Blue,Aluminum,Lifetime,Manufacturer D,4,9.2,9,2,True,72.23,DHL,Standard,Premium,60 Days
2016-09-12,12,September,2016,58,Adults (35-64),M,United States,California,Accessories,Fenders,Fender Set - Mountain,9,8,22,122,72,194,Extra Large,White,Carbon Fiber,1 Year,Manufacturer B,1,12.75,7,2,True,63.72,UPS,Same Day,Basic,30 Days
2016-12-12,12,December,2016,51,Adults (35-64),F,France,Seine Saint Denis,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",10,42,54,23,420,443,Small,White,Carbon Fiber,1 Year,Manufacturer B,5,6.89,9,20,False,89.32,DHL,Next Day,Basic,No Return
2016-04-21,21,April,2016,25,Young Adults (25-34),M,Canada,British Columbia,Accessories,Tires and Tubes,HL Mountain Tire,25,13,35,541,325,866,Large,Black,Plastic,1 Year,Manufacturer A,5,6.84,7,20,True,60.5,GLS,Standard,,60 Days
2016-06-06,6,June,2016,45,Adults (35-64),F,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,636,1266,1902,Extra Large,Blue,Carbon Fiber,Lifetime,Manufacturer A,5,12.3,4,17,False,12.54,Posti,Same Day,,7 Days
2016-03-08,8,March,2016,36,Adults (35-64),M,United States,California,Accessories,Tires and Tubes,Mountain Tire Tube,13,2,5,38,26,64,Extra Large,Black,Steel,1 Year,Manufacturer D,3,10.46,2,15,False,49.43,GLS,Next Day,Basic,30 Days
2016-12-07,7,December,2016,40,Adults (35-64),M,Australia,Victoria,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",9,42,54,6,378,384,Small,Black,Carbon Fiber,3 Years,Manufacturer A,5,4.87,1,4,True,58.45,GLS,Next Day,Premium,60 Days
2016-12-21,21,December,2016,30,Young Adults (25-34),M,Canada,British Columbia,Bikes,Road Bikes,"Road-750 Black, 52",1,344,540,191,344,535,Small,Blue,Carbon Fiber,3 Years,Manufacturer C,5,13.23,7,9,True,32.02,DHL,Next Day,Premium,No Return
